# B站特有梗/黑话词典
# 格式：词语 词频 词性
# 词性参考：n-名词, v-动词, a-形容词, d-副词, nz-其他专名

# ========== 经典弹幕梗 ==========
前方高能 3 nz
火钳刘明 3 nz
空耳 2 nz
生草 2 v
awsl 3 nz
xswl 3 nz
yyds 3 nz
绝绝子 3 nz
蚌埠住了 3 nz
赢麻了 3 nz
绷不住 3 v
泰裤辣 3 nz
真嘟假嘟 4 nz
尊嘟假嘟 4 nz
哈基米 3 nz
city不city 4 nz
凡尔赛 3 nz
遥遥领先 4 nz

# ========== 情感/状态表达 ==========
破防 2 v
破大防 3 v
泪目 2 v
DNA动了 3 nz
爷青回 3 nz
爷青结 3 nz
意难平 3 nz
emo 1 v
上头 2 v
下头 2 v
社死 2 v
社牛 2 n
社恐 2 n
红温 2 v
急了 2 v
孝子 2 n
典 1 n
典中典 3 nz
寄 1 v

# ========== 评价类 ==========
神仙 2 n
炸裂 2 a
封神 2 v
绝了 2 a
无敌 2 a
抽象 2 a
逆天 2 a
离谱 2 a
离大谱 3 nz
牛逼 2 a
666 3 nz
好家伙 3 nz
有一说一 4 nz
确实 1 d
真实 1 a
硬核 2 a
顶级 2 a
顶级理解 4 nz

# ========== 互动类 ==========
前排 2 n
沙发 2 n
占楼 2 v
打卡 2 v
签到 2 v
围观 2 v
吃瓜 2 v
恰瓜 2 v
搬砖 2 v
路过 2 v
冒泡 2 v
滴滴 2 v
蹲一个 3 v
插眼 2 v
mark 1 v

# ========== 生活/职场 ==========
打工人 3 n
干饭人 3 n
尾款人 3 n
工具人 3 n
冤种 2 n
大冤种 3 n
显眼包 3 n
特种兵 3 n
脆皮大学生 5 n
早八 2 n
摸鱼 2 v
划水 2 v
内卷 2 v
躺平 2 v
摆烂 2 v
上岸 2 v
考公 2 v
考编 2 v

# ========== 身份标签 ==========
i人 2 n
e人 2 n
NPC 1 n
J人 2 n
P人 2 n
浓人 2 n
淡人 2 n

# ========== MBTI ==========
MBTI 1 n
ISTJ 1 n
INFP 1 n
ENFP 1 n
INTJ 1 n
ENTP 1 n
ISFJ 1 n
ESTP 1 n

# ========== 网络缩写 ==========
PUA 1 n
CPU 1 n
KTV 1 n
EMO 1 n
DDL 1 n
AWSL 3 nz
YYDS 3 nz
XSWL 3 nz
NBCS 3 nz
SSFD 3 nz
YYGQ 3 nz

# ========== 鬼畜/二创 ==========
鬼畜 2 n
空耳 2 n
生草 2 v
草 1 n
大草 2 nz
笑死 2 v
笑不活了 4 nz

# ========== 直播相关 ==========
舰长 2 n
提督 2 n
总督 2 n
上舰 2 v
sc 1 n
SC 1 n
醒目留言 4 n
连麦 2 v
PK 1 n

# ========== 游戏相关 ==========
操作 2 n
走位 2 v
carry 1 v
MVP 1 n
ACE 1 n
五杀 2 v
超神 2 v
送人头 3 v
挂机 2 v
泉水 2 n
塔下 2 n
团战 2 n
开团 2 v
收割 2 v

# ========== 高级弹幕 ==========
高级弹幕 3 nz
BAS 1 n
代码弹幕 4 n
