# 外来词词典
# 格式：词语 词频 词性
# 词性参考：n-名词, v-动词, a-形容词, d-副词, nz-其他专名

# ========== ACG核心术语 ==========
卡哇伊 3 a
声优 2 n
本命 2 n
推し 2 n
厨力 2 n
同人 2 n
二创 2 n
鬼畜 2 n
空耳 2 n
弹幕 2 n
番剧 2 n
新番 2 n
完结 2 v
追番 2 v
补番 2 v
入坑 2 v
退坑 2 v

# ========== 视频相关 ==========
UP主 2 n
投稿 2 v
一键三连 4 n
素质三连 4 n
三连 2 n
点赞 2 v
投币 2 v
收藏 2 v
转发 2 v
充电 2 v
恰饭 2 v
商务 2 n

# ========== 视频类型 ==========
MAD 1 n
AMV 1 n
MMD 1 n
PV 1 n
OP 1 n
ED 1 n
BGM 1 n
OST 1 n
CV 1 n

# ========== 虚拟主播 ==========
VUP 1 n
VTuber 2 n
虚拟主播 4 n
皮套 2 n
中之人 3 n
切片 2 n
直播 2 n
回放 2 n
录播 2 n

# ========== 直播生态 ==========
舰长 2 n
提督 2 n
总督 2 n
上舰 2 v
舰团 2 n
sc 1 n
SC 1 n
醒目留言 4 n
礼物 2 n
辣条 2 n
坷垃 2 n
连麦 2 v
PK 1 n
大航海 3 n

# ========== 应援/打call ==========
打call 2 v
应援 2 v
控评 2 v
反黑 2 v
安利 2 v
种草 2 v
拔草 2 v
入坑 2 v
爬墙 2 v

# ========== 游戏术语 ==========
抽卡 2 v
氪金 2 v
肝 1 v
开黑 2 v
组队 2 v
carry 1 v
gank 1 v
团战 2 n
泉水 2 n
推塔 2 v
补刀 2 v
走位 2 v
意识 2 n
操作 2 n
手速 2 n
欧皇 2 n
非酋 2 n
保底 2 n
歪了 2 v
金光 2 n

# ========== 颜文字/表情 ==========
颜文字 3 n
表情包 3 n
emoji 2 n
贴图 2 n
斗图 2 v

# ========== 称呼用语 ==========
大佬 2 n
萌新 2 n
小白 2 n
老司机 3 n
带哥 2 n
靓仔 2 n
靓女 2 n
小姐姐 3 n
小哥哥 3 n
集美 2 n
姐妹 2 n
兄弟 2 n
家人们 3 n
宝子 2 n
宝 1 n
亲 1 n
亲亲 2 v
抱抱 2 v
摸摸 2 v
贴贴 2 v
么么哒 3 n
啾咪 2 n
比心 2 v

# ========== 日语借词 ==========
大丈夫 3 a
无料 2 n
有料 2 n
�的场 2 n
圣地巡礼 4 n
现充 2 n
残念 2 a
苦手 2 a
得意 2 a
不得意 4 a

# ========== 英语/罗马音 ==========
nice 1 a
amazing 1 a
crazy 1 a
emo 1 v
chat 1 n
live 1 n
stream 1 n
clip 1 n
fan 1 n
idol 1 n
otaku 1 n
cosplay 2 v
cos 1 v
figure 1 n

# ========== 特殊表达 ==========
awsl 3 nz
xswl 3 nz
yyds 3 nz
绝绝子 3 nz
无语子 3 nz
好家伙 3 nz
笑死 2 v
草 1 n
大草 2 nz
绝了 2 a
裂开 2 v
